,# codigo,descripcion,tipo_arbol,folder_id
268,3050,BICOLOR,Profeco_010101_arbol,data20220712
269,# BOLIGRAFO,,Profeco_010101_arbol,data20220712
270,3083,BOLIGRAFO COLORES VARIOS,Profeco_010101_arbol,data20220712
271,3052,BOLIGRAFO TINTA NEGRA,Profeco_010101_arbol,data20220712
272,# CALCULADORAS,,Profeco_010101_arbol,data20220712
273,3053,CALCULADORAS,Profeco_010101_arbol,data20220712
274,# COLORES DE MADERA,,Profeco_010101_arbol,data20220712
275,3055,COLORES DE MADERA,Profeco_010101_arbol,data20220712
276,# CRAYONES,,Profeco_010101_arbol,data20220712
277,3057,CRAYONES,Profeco_010101_arbol,data20220712
278,# GOMA BORRADOR,,Profeco_010101_arbol,data20220712
279,3063,GOMA BORRADOR,Profeco_010101_arbol,data20220712
280,# LAPIZ,,Profeco_010101_arbol,data20220712
281,3066,LAPIZ,Profeco_010101_arbol,data20220712
282,# MARCADORES,,Profeco_010101_arbol,data20220712
283,3068,MARCADORES,Profeco_010101_arbol,data20220712
284,# PLUMONES,,Profeco_010101_arbol,data20220712
285,3073,PLUMONES,Profeco_010101_arbol,data20220712
286,# PORTAMINAS,,Profeco_010101_arbol,data20220712
287,3074,PORTAMINAS,Profeco_010101_arbol,data20220712
288,# SACAPUNTAS,,Profeco_010101_arbol,data20220712
289,3076,SACAPUNTAS,Profeco_010101_arbol,data20220712
290,# ARTICULOS DE PAPEL,,Profeco_010101_arbol,data20220712
291,# CUADERNO FORMA COLLEGE,,Profeco_010101_arbol,data20220712
292,3078,CUADERNO FORMA COLLEGE,Profeco_010101_arbol,data20220712
293,# CUADERNO FORMA FRANCESA,,Profeco_010101_arbol,data20220712
294,3058,CUADERNO FORMA FRANCESA,Profeco_010101_arbol,data20220712
295,# CUADERNO FORMA ITALIANA,,Profeco_010101_arbol,data20220712
296,3059,CUADERNO FORMA ITALIANA,Profeco_010101_arbol,data20220712
297,# CUADERNO PROFESIONAL,,Profeco_010101_arbol,data20220712
298,3060,CUADERNO PROFESIONAL,Profeco_010101_arbol,data20220712
299,# FOLDERS,,Profeco_010101_arbol,data20220712
300,3062,FOLDERS,Profeco_010101_arbol,data20220712
301,# HOJAS DE PAPEL,,Profeco_010101_arbol,data20220712
302,3064,HOJAS DE PAPEL,Profeco_010101_arbol,data20220712
303,# PLIEGOS DE PAPEL,,Profeco_010101_arbol,data20220712
304,3071,PLIEGOS DE PAPEL,Profeco_010101_arbol,data20220712
305,# LIBROS,,Profeco_010101_arbol,data20220712
306,# DICCIONARIO,,Profeco_010101_arbol,data20220712
307,3061,DICCIONARIO,Profeco_010101_arbol,data20220712
308,# UNIFORMES,,Profeco_010101_arbol,data20220712
309,# PLAYERA BLANCA,,Profeco_010101_arbol,data20220712
310,3158,PLAYERA BLANCA,Profeco_010101_arbol,data20220712
311,"# ELECTRONICA, HOGAR Y LINEA BLANCA",,Profeco_010101_arbol,data20220712
312,# ELECTRONICA,,Profeco_010101_arbol,data20220712
313,# AUDIO Y EQUIPOS DE SONIDO,,Profeco_010101_arbol,data20220712
314,1064,BARRA DE SONIDO,Profeco_010101_arbol,data20220712
315,1050,COMPONENTES DE AUDIO,Profeco_010101_arbol,data20220712
316,1052,RADIOGRABADORAS,Profeco_010101_arbol,data20220712
317,# CAMARAS,,Profeco_010101_arbol,data20220712
318,1061,CAMARAS DIGITALES,Profeco_010101_arbol,data20220712
319,# TV Y VIDEO,,Profeco_010101_arbol,data20220712
320,5003,CONSOLAS DE VIDEOJUEGOS,Profeco_010101_arbol,data20220712
321,1056,DVD / BLU RAY,Profeco_010101_arbol,data20220712
322,1063,PANTALLAS,Profeco_010101_arbol,data20220712
323,1065,REPRODUCTORES STREAMING,Profeco_010101_arbol,data20220712
324,# HOGAR Y LINEA BLANCA,,Profeco_010101_arbol,data20220712
325,# COCINA,,Profeco_010101_arbol,data20220712
326,1080,OLLA DE PRESION EXPRESS,Profeco_010101_arbol,data20220712
327,# ELECTRODOMESTICOS,,Profeco_010101_arbol,data20220712
328,1021,BATIDORAS,Profeco_010101_arbol,data20220712
329,1033,CAFETERAS,Profeco_010101_arbol,data20220712
330,1023,EXTRACTORES DE JUGOS Y EXPRIMIDORES,Profeco_010101_arbol,data20220712
331,1025,HORNO DE MICROONDAS,Profeco_010101_arbol,data20220712
332,1024,HORNO ELECTRICO,Profeco_010101_arbol,data20220712
333,1027,LICUADORAS,Profeco_010101_arbol,data20220712
334,1028,PLANCHAS,Profeco_010101_arbol,data20220712
335,1031,SANDWICHERAS,Profeco_010101_arbol,data20220712
336,# LINEA BLANCA,,Profeco_010101_arbol,data20220712
337,1020,ESTUFAS,Profeco_010101_arbol,data20220712
338,1026,LAVADORAS,Profeco_010101_arbol,data20220712
339,1029,REFRIGERADORES,Profeco_010101_arbol,data20220712
340,1034,SECADORAS,Profeco_010101_arbol,data20220712
341,# VENTILACION,,Profeco_010101_arbol,data20220712
342,1055,VENTILADORES,Profeco_010101_arbol,data20220712
343,# MEDICINAS,,Profeco_010101_arbol,data20220712
344,# MEDICINAS,,Profeco_010101_arbol,data20220712
345,# ESPECIALES,,Profeco_010101_arbol,data20220712
346,1794,AGUA OXIGENADA,Profeco_010101_arbol,data20220712
347,1447,ALCOHOL,Profeco_010101_arbol,data20220712
348,1795,ALGODÓN,Profeco_010101_arbol,data20220712
349,1792,COFIA,Profeco_010101_arbol,data20220712
350,2762,CUBRE BOCA,Profeco_010101_arbol,data20220712
351,1797,GASA,Profeco_010101_arbol,data20220712
352,1791,GUANTES DE LÁTEX,Profeco_010101_arbol,data20220712
353,1112,MICROBICIDA,Profeco_010101_arbol,data20220712
354,1793,NEBULIZADOR,Profeco_010101_arbol,data20220712
355,1790,TERMÓMETRO,Profeco_010101_arbol,data20220712
356,1798,VENDA ELÁSTICA,Profeco_010101_arbol,data20220712
357,1787,VENDITAS ADHESIVAS,Profeco_010101_arbol,data20220712
358,# MEDICINAS,,Profeco_010101_arbol,data20220712
359,1449,A.S.COR,Profeco_010101_arbol,data20220712
360,1634,ACIDO FOLICO,Profeco_010101_arbol,data20220712
361,1450,ACLIMAFEL,Profeco_010101_arbol,data20220712
362,1452,ADALAT OROS,Profeco_010101_arbol,data20220712
363,1600,ADEROGYL 15,Profeco_010101_arbol,data20220712
364,1453,AFUMIX,Profeco_010101_arbol,data20220712
365,1348,AFUNGIL,Profeco_010101_arbol,data20220712
366,1789,AGRIFEN,Profeco_010101_arbol,data20220712
367,1454,ALEVIAN DUO,Profeco_010101_arbol,data20220712
368,1123,ALKA-SELTZER,Profeco_010101_arbol,data20220712
369,1637,ALOPURINOL,Profeco_010101_arbol,data20220712
370,2306,ALTRULINE,Profeco_010101_arbol,data20220712
371,1638,AMANTADINA CLORFENAMINA PARACETAMOL,Profeco_010101_arbol,data20220712
372,1640,AMIKACINA,Profeco_010101_arbol,data20220712
373,1641,AMLODIPINO,Profeco_010101_arbol,data20220712
374,1359,AMOXICILINA,Profeco_010101_arbol,data20220712
375,1642,"AMOXICILINA, ACIDO CLAVULANICO",Profeco_010101_arbol,data20220712
376,1457,AMOXICLAV. BID,Profeco_010101_arbol,data20220712
377,1360,AMPICILINA,Profeco_010101_arbol,data20220712
378,1458,ANGELIQ A,Profeco_010101_arbol,data20220712
379,1203,ANTIFLU-DES,Profeco_010101_arbol,data20220712
380,1459,ANTIFLU-DES JR.,Profeco_010101_arbol,data20220712
381,1461,ARCOXIA,Profeco_010101_arbol,data20220712
382,1124,ARTRIDOL,Profeco_010101_arbol,data20220712
383,1125,ASPIRINA,Profeco_010101_arbol,data20220712
384,1394,ATACAND PLUS,Profeco_010101_arbol,data20220712
385,2301,ATIVAN,Profeco_010101_arbol,data20220712
386,1463,AUGMENTIN 12 H.,Profeco_010101_arbol,data20220712
387,1464,AVAMYS 2A,Profeco_010101_arbol,data20220712
388,1368,AVELOX 7D,Profeco_010101_arbol,data20220712
389,1643,AZITROMICINA,Profeco_010101_arbol,data20220712
390,1165,BACTRIM F,Profeco_010101_arbol,data20220712
391,1466,BEDOYECTA,Profeco_010101_arbol,data20220712
392,1167,BEDOYECTA-TRI,Profeco_010101_arbol,data20220712
393,1644,BENCILPENICILINA PROCAINICA,Profeco_010101_arbol,data20220712
394,1645,BETAMETASONA/ CLOTRIMAZOL/ GENTAMICINA,Profeco_010101_arbol,data20220712
395,1469,BREDELIN,Profeco_010101_arbol,data20220712
396,1647,BROMURO DE PINAVERIO,Profeco_010101_arbol,data20220712
397,1169,BUSCAPINA COMPOSITUM,Profeco_010101_arbol,data20220712
398,1648,BUTILHIOSCINA,Profeco_010101_arbol,data20220712
399,1649,BUTILHIOSCINA/ METAMIZOL SODICO,Profeco_010101_arbol,data20220712
400,1470,CAFIASPIRINA,Profeco_010101_arbol,data20220712
401,1951,CANESTEN V,Profeco_010101_arbol,data20220712
402,1383,CEFALEXINA,Profeco_010101_arbol,data20220712
403,1474,CEFAXONA I.M.,Profeco_010101_arbol,data20220712
404,1435,CEFTREX IM,Profeco_010101_arbol,data20220712
405,1653,CEFTRIAXONA,Profeco_010101_arbol,data20220712
406,1475,CEFURACET,Profeco_010101_arbol,data20220712
407,1654,CEFUROXIMA,Profeco_010101_arbol,data20220712
408,1369,CELEBREX,Profeco_010101_arbol,data20220712
409,1476,CELESTAMINE-NS,Profeco_010101_arbol,data20220712
410,1173,CELESTONE SOLUSPAN,Profeco_010101_arbol,data20220712
411,1655,CETIRIZINA,Profeco_010101_arbol,data20220712
412,1477,CIALIS,Profeco_010101_arbol,data20220712
413,1178,CIPROFLOX,Profeco_010101_arbol,data20220712
414,1656,CLARITROMICINA,Profeco_010101_arbol,data20220712
