,idCat,nombreCat,nivel1,nivel2,nivel3,tipo_arbol,# codigo,descripcion,folder_id
59,70.0,BISTEC DEL 0,ALIMENTOS,"CARNE, POLLO Y PESCADO",CARNE DE RES,111_arbol,,,data20220913
60,72.0,BISTEC RANCHERO,ALIMENTOS,"CARNE, POLLO Y PESCADO",CARNE DE RES,111_arbol,,,data20220913
61,52.0,CARNE PARA ASAR DE RES,ALIMENTOS,"CARNE, POLLO Y PESCADO",CARNE DE RES,111_arbol,,,data20220913
62,60.0,FALDA DE RES,ALIMENTOS,"CARNE, POLLO Y PESCADO",CARNE DE RES,111_arbol,,,data20220913
63,77.0,MILANESA DE RES,ALIMENTOS,"CARNE, POLLO Y PESCADO",CARNE DE RES,111_arbol,,,data20220913
64,66.0,PANZA O MENUDO DE RES,ALIMENTOS,"CARNE, POLLO Y PESCADO",CARNE DE RES,111_arbol,,,data20220913
65,63.0,RETAZO C/HUESO DE RES,ALIMENTOS,"CARNE, POLLO Y PESCADO",CARNE DE RES,111_arbol,,,data20220913
66,850.0,ACELGA,ALIMENTOS,FRUTAS Y VERDURAS FRESCAS,FRUTAS Y VERDURAS FRESCAS,111_arbol,,,data20220913
67,800.0,AGUACATE,ALIMENTOS,FRUTAS Y VERDURAS FRESCAS,FRUTAS Y VERDURAS FRESCAS,111_arbol,,,data20220913
68,851.0,AJO,ALIMENTOS,FRUTAS Y VERDURAS FRESCAS,FRUTAS Y VERDURAS FRESCAS,111_arbol,,,data20220913
69,853.0,APIO,ALIMENTOS,FRUTAS Y VERDURAS FRESCAS,FRUTAS Y VERDURAS FRESCAS,111_arbol,,,data20220913
70,854.0,BETABEL,ALIMENTOS,FRUTAS Y VERDURAS FRESCAS,FRUTAS Y VERDURAS FRESCAS,111_arbol,,,data20220913
71,855.0,BROCOLI,ALIMENTOS,FRUTAS Y VERDURAS FRESCAS,FRUTAS Y VERDURAS FRESCAS,111_arbol,,,data20220913
72,856.0,CALABAZA,ALIMENTOS,FRUTAS Y VERDURAS FRESCAS,FRUTAS Y VERDURAS FRESCAS,111_arbol,,,data20220913
73,857.0,CEBOLLA,ALIMENTOS,FRUTAS Y VERDURAS FRESCAS,FRUTAS Y VERDURAS FRESCAS,111_arbol,,,data20220913
74,858.0,CHAYOTE,ALIMENTOS,FRUTAS Y VERDURAS FRESCAS,FRUTAS Y VERDURAS FRESCAS,111_arbol,,,data20220913
75,859.0,CHICHAROS,ALIMENTOS,FRUTAS Y VERDURAS FRESCAS,FRUTAS Y VERDURAS FRESCAS,111_arbol,,,data20220913
76,860.0,CHILE FRESCO,ALIMENTOS,FRUTAS Y VERDURAS FRESCAS,FRUTAS Y VERDURAS FRESCAS,111_arbol,,,data20220913
77,868.0,CILANTRO,ALIMENTOS,FRUTAS Y VERDURAS FRESCAS,FRUTAS Y VERDURAS FRESCAS,111_arbol,,,data20220913
78,802.0,CIRUELA,ALIMENTOS,FRUTAS Y VERDURAS FRESCAS,FRUTAS Y VERDURAS FRESCAS,111_arbol,,,data20220913
79,861.0,COL,ALIMENTOS,FRUTAS Y VERDURAS FRESCAS,FRUTAS Y VERDURAS FRESCAS,111_arbol,,,data20220913
80,862.0,COLIFLOR,ALIMENTOS,FRUTAS Y VERDURAS FRESCAS,FRUTAS Y VERDURAS FRESCAS,111_arbol,,,data20220913
81,824.0,DURAZNO,ALIMENTOS,FRUTAS Y VERDURAS FRESCAS,FRUTAS Y VERDURAS FRESCAS,111_arbol,,,data20220913
82,863.0,EJOTE,ALIMENTOS,FRUTAS Y VERDURAS FRESCAS,FRUTAS Y VERDURAS FRESCAS,111_arbol,,,data20220913
83,864.0,ELOTE,ALIMENTOS,FRUTAS Y VERDURAS FRESCAS,FRUTAS Y VERDURAS FRESCAS,111_arbol,,,data20220913
84,866.0,ESPINACAS,ALIMENTOS,FRUTAS Y VERDURAS FRESCAS,FRUTAS Y VERDURAS FRESCAS,111_arbol,,,data20220913
85,803.0,FRESA,ALIMENTOS,FRUTAS Y VERDURAS FRESCAS,FRUTAS Y VERDURAS FRESCAS,111_arbol,,,data20220913
86,823.0,GRANADA,ALIMENTOS,FRUTAS Y VERDURAS FRESCAS,FRUTAS Y VERDURAS FRESCAS,111_arbol,,,data20220913
87,804.0,GUAYABA,ALIMENTOS,FRUTAS Y VERDURAS FRESCAS,FRUTAS Y VERDURAS FRESCAS,111_arbol,,,data20220913
88,867.0,HONGOS CHAMPIÑONES,ALIMENTOS,FRUTAS Y VERDURAS FRESCAS,FRUTAS Y VERDURAS FRESCAS,111_arbol,,,data20220913
89,9015.0,JAMAICA,ALIMENTOS,FRUTAS Y VERDURAS FRESCAS,FRUTAS Y VERDURAS FRESCAS,111_arbol,,,data20220913
90,9017.0,JICAMA,ALIMENTOS,FRUTAS Y VERDURAS FRESCAS,FRUTAS Y VERDURAS FRESCAS,111_arbol,,,data20220913
91,869.0,JITOMATE,ALIMENTOS,FRUTAS Y VERDURAS FRESCAS,FRUTAS Y VERDURAS FRESCAS,111_arbol,,,data20220913
